ID:,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
1,0,6,2015,7,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2,1,88,2015,7,1,0,4,2,0,0,0,0,0,0,0,0,76.5,0,1
3,1,65,2015,7,1,0,4,1,0,0,0,0,0,0,0,0,68,0,1
4,1,92,2015,7,1,2,4,2,0,0,0,0,0,0,0,0,76.5,0,2
5,1,100,2015,7,2,0,2,2,0,0,0,0,0,0,0,0,76.5,0,1
6,1,79,2015,7,2,0,3,2,0,0,0,0,0,0,0,0,76.5,0,1
7,0,3,2015,7,2,0,3,1,0,0,0,0,0,1,0,0,58.67,0,0
8,1,63,2015,7,2,1,3,1,0,0,0,0,0,0,0,0,68,0,0
9,1,62,2015,7,2,2,3,2,0,0,0,0,0,0,0,0,76.5,0,1
10,1,62,2015,7,2,2,3,2,0,0,0,0,0,0,0,0,76.5,0,1
11,0,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
12,0,43,2015,7,3,0,2,2,0,0,0,0,0,1,0,0,43,0,0
13,0,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
14,0,4,2015,7,3,0,2,1,0,0,0,0,0,0,0,0,63,0,0
15,1,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
16,0,43,2015,7,3,0,2,1,0,0,0,0,0,1,0,0,63,0,0
17,1,43,2015,7,3,0,2,1,0,0,0,0,0,0,0,0,63,0,0
18,0,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
19,0,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
20,1,43,2015,7,3,0,2,1,0,0,0,0,0,0,0,0,63,0,0
21,1,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
22,1,97,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,63.75,0,1
23,0,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
24,0,43,2015,7,3,0,2,2,0,0,0,0,0,0,0,0,86,0,0
25,1,80,2015,7,3,1,2,2,0,0,0,0,0,0,0,0,76.5,0,1
26,0,60,2015,7,3,2,5,2,0,0,0,0,0,1,0,0,60.27,0,0
27,1,106,2015,7,4,1,1,1,0,0,0,0,0,0,0,0,68,0,0
28,1,68,2015,7,4,2,1,1,0,0,0,0,0,0,0,0,68,0,0
29,1,92,2015,7,4,2,1,2,0,0,0,0,0,1,0,0,76.5,0,1
30,0,18,2015,7,4,2,2,1,0,0,0,0,0,0,0,0,60,0,0
31,1,71,2015,7,5,2,1,2,0,0,0,0,0,1,0,0,55.8,0,0
32,1,85,2015,7,5,2,1,2,0,0,0,0,0,0,0,0,52.36,0,0
33,1,92,2015,7,5,2,3,2,0,0,0,0,0,0,0,0,49.74,0,0
34,1,75,2015,7,6,1,1,2,0,0,0,0,0,0,0,0,76.5,0,1
35,1,92,2015,7,6,1,3,1,0,0,0,0,0,0,0,0,68,0,2
36,1,89,2015,7,6,1,4,1,0,0,0,0,0,0,0,0,68,0,1
37,1,100,2015,7,6,1,4,2,0,1,0,0,0,0,0,0,93.6,0,2
38,1,83,2015,7,6,2,5,2,0,0,0,0,0,0,0,0,76.5,0,1
39,1,72,2015,7,6,3,6,2,0,0,0,0,0,0,0,0,76.5,0,1
40,1,111,2015,7,6,1,2,2,0,0,0,0,0,0,0,0,76.5,0,1
41,1,86,2015,7,6,1,3,2,0,0,0,0,0,0,0,0,76.5,0,0
42,1,73,2015,7,7,0,4,2,0,0,0,0,0,0,0,0,68,0,0
43,1,92,2015,7,7,0,4,1,0,0,0,0,0,0,0,0,68,0,0
44,1,55,2015,7,7,0,4,2,0,0,0,0,0,1,0,0,81,0,2
45,0,69,2015,7,7,0,2,2,1,0,0,0,0,0,0,0,76.08,0,0
46,1,76,2015,7,7,0,3,2,0,0,0,0,0,0,0,0,76.5,0,2
47,1,76,2015,7,7,0,3,2,0,0,0,0,0,0,0,0,76.5,0,1
48,1,79,2015,7,7,0,3,2,0,0,0,0,0,0,0,0,37.33,0,1
49,1,61,2015,7,7,0,4,2,0,0,0,0,0,0,0,0,76.5,0,1
50,1,55,2015,7,7,0,4,2,0,0,0,0,0,1,0,0,90,0,2
51,1,63,2015,7,7,2,5,2,0,0,0,0,0,0,0,0,45,0,1
52,1,63,2015,7,7,2,5,2,0,0,0,0,0,2,0,0,45,0,1
53,1,77,2015,7,7,2,5,2,0,0,0,0,0,0,0,0,76.5,0,0
54,0,54,2015,7,7,2,8,2,0,0,0,0,0,0,0,0,62.37,0,0
55,1,90,2015,7,7,5,15,1,0,0,0,0,0,0,0,0,48.6,0,0
56,1,90,2015,7,7,5,15,1,0,0,0,0,0,0,0,0,48.6,0,0
57,1,117,2015,7,7,5,15,1,0,0,0,0,0,0,0,0,48.6,0,0
58,0,6,2015,7,8,0,2,2,0,0,0,0,0,0,0,0,62,0,0
59,1,105,2015,7,8,0,2,2,0,0,0,0,0,0,0,0,76.5,0,1
60,0,51,2015,7,8,1,4,2,0,0,0,0,0,0,0,0,67.5,0,0
61,1,97,2015,7,8,1,4,2,0,0,0,0,0,0,0,0,76.5,0,2
62,0,72,2015,7,8,1,4,2,0,0,0,0,0,0,0,0,76.5,0,0
63,1,72,2015,7,8,2,5,2,0,0,0,0,0,0,0,0,76.5,0,1
64,1,61,2015,7,8,2,8,2,0,0,0,0,0,0,0,0,68.85,0,0
65,1,63,2015,7,8,2,8,2,0,0,0,0,0,0,0,0,68.85,0,0
66,1,24,2015,7,9,0,2,3,0,0,0,0,0,0,0,0,100,0,0
67,1,89,2015,7,9,0,3,2,0,0,0,0,0,0,0,0,76.5,0,1
68,0,92,2015,7,9,2,3,2,0,0,0,0,0,0,0,0,58.9,0,1
69,1,84,2015,7,10,0,1,2,0,0,0,0,0,0,0,0,63.75,0,0
70,1,65,2015,7,10,0,2,2,0,0,0,0,0,0,0,0,68.85,0,1
71,1,85,2015,7,10,1,2,2,0,0,0,0,0,0,0,0,76.5,0,0
72,1,115,2015,7,10,2,3,1,0,0,0,0,0,0,0,0,68,0,2
73,0,67,2015,7,10,2,3,2,2,0,0,0,0,1,0,0,106.25,0,0
74,1,87,2015,7,10,3,7,2,0,0,0,0,0,0,0,0,58.9,0,1
75,1,87,2015,7,10,3,7,2,0,0,0,0,0,0,0,0,58.9,0,1
76,0,71,2015,7,11,0,1,1,0,0,0,0,0,1,0,0,51.96,0,0
77,0,3,2015,7,11,0,1,2,0,0,0,0,0,0,0,0,75,0,0
78,0,71,2015,7,11,0,1,1,0,0,0,0,0,1,0,0,51.96,0,0
79,0,3,2015,7,11,0,1,3,0,0,0,0,0,0,0,0,104,0,0
80,1,109,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,76.5,0,1
81,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
82,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
83,1,65,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,76.5,0,1
84,1,114,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,76.5,0,0
85,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
86,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
87,0,3,2015,7,11,2,1,3,0,0,0,0,0,0,0,0,138.5,0,0
88,0,61,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,55.96,0,0
89,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
90,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
91,0,3,2015,7,11,2,1,1,0,0,0,0,0,0,0,0,72.5,0,0
92,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
93,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
94,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
95,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
96,0,3,2015,7,11,2,1,1,0,0,0,0,0,0,0,0,72.5,0,0
97,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
98,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
99,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
100,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
101,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
102,0,61,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,55.96,0,0
103,0,3,2015,7,11,2,1,1,0,0,0,0,0,0,0,0,72.5,0,0
104,0,66,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,58.9,0,0
105,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
106,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
107,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
