is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
0,342,2015,7,27,1,0,0,2,0,0,0,0,0,3,0,0,0,0
0,737,2015,7,27,1,0,0,2,0,0,0,0,0,4,0,0,0,0
0,7,2015,7,27,1,0,1,1,0,0,0,0,0,0,0,75,0,0
0,13,2015,7,27,1,0,1,1,0,0,0,0,0,0,0,75,0,0
0,14,2015,7,27,1,0,2,2,0,0,0,0,0,0,0,98,0,1
0,14,2015,7,27,1,0,2,2,0,0,0,0,0,0,0,98,0,1
0,0,2015,7,27,1,0,2,2,0,0,0,0,0,0,0,107,0,0
0,9,2015,7,27,1,0,2,2,0,0,0,0,0,0,0,103,0,1
1,85,2015,7,27,1,0,3,2,0,0,0,0,0,0,0,82,0,1
1,75,2015,7,27,1,0,3,2,0,0,0,0,0,0,0,105.5,0,0
1,23,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,123,0,0
0,35,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,145,0,0
0,68,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,97,0,3
0,18,2015,7,27,1,0,4,2,1,0,0,0,0,1,0,154.77,0,1
0,37,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,94.71,0,0
0,68,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,97,0,3
0,37,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,97.5,0,0
0,12,2015,7,27,1,0,1,2,0,0,0,0,0,0,0,88.2,0,0
0,0,2015,7,27,1,0,1,2,0,0,0,0,0,0,0,107.42,0,0
0,7,2015,7,27,1,0,4,2,0,0,0,0,0,0,0,153,0,1
0,37,2015,7,27,1,1,4,1,0,0,0,0,0,0,0,97.29,0,1
0,72,2015,7,27,1,2,4,2,0,0,0,0,0,1,0,84.67,0,1
0,72,2015,7,27,1,2,4,2,0,0,0,0,0,1,0,84.67,0,1
0,72,2015,7,27,1,2,4,2,0,0,0,0,0,1,0,99.67,0,1
0,127,2015,7,27,1,2,5,2,0,0,0,0,0,0,0,94.95,0,1
0,78,2015,7,27,1,2,5,2,0,0,0,0,0,0,0,63.6,1,0
0,48,2015,7,27,1,2,5,2,0,0,0,0,0,0,0,79.5,0,0
1,60,2015,7,27,1,2,5,2,0,0,0,0,0,0,0,107,0,2
0,77,2015,7,27,1,2,5,2,0,0,0,0,0,0,0,94,0,0
0,99,2015,7,27,1,2,5,2,0,0,0,0,0,0,0,87.3,1,1
0,118,2015,7,27,1,4,10,1,0,0,0,0,0,2,0,62,0,2
0,95,2015,7,27,1,4,11,2,0,0,0,0,0,0,0,63.86,0,0
1,96,2015,7,27,1,2,8,2,0,0,0,0,0,0,0,108.3,0,2
0,69,2015,7,27,2,2,4,2,0,0,0,0,0,0,0,65.5,0,0
1,45,2015,7,27,2,1,3,3,0,0,0,0,0,0,0,108.8,0,1
1,40,2015,7,27,2,1,3,3,0,0,0,0,0,0,0,108.8,0,1
0,15,2015,7,27,2,1,3,2,0,0,0,0,0,0,0,98,0,0
0,36,2015,7,27,2,1,3,3,0,0,0,0,0,0,0,108.8,0,1
1,43,2015,7,27,2,1,3,3,0,0,0,0,0,0,0,108.8,0,0
0,70,2015,7,27,2,2,3,2,0,0,0,0,0,0,0,137,0,1
1,45,2015,7,27,2,2,3,2,0,0,0,0,0,0,0,117.81,0,0
0,45,2015,7,27,2,2,3,2,0,0,0,0,0,0,0,79.5,0,0
0,16,2015,7,27,2,2,3,2,0,0,0,0,0,0,0,123,0,0
0,70,2015,7,27,2,2,3,2,0,0,0,0,0,0,0,137,0,1
0,107,2015,7,27,2,2,5,2,0,0,0,0,0,0,0,110.7,0,2
1,47,2015,7,27,2,2,5,2,2,0,0,0,0,0,0,153,0,0
0,96,2015,7,27,2,2,5,2,0,0,0,0,0,0,0,58.95,0,1
0,113,2015,7,27,2,2,5,2,0,0,0,0,0,0,0,82.88,0,2
0,90,2015,7,27,2,2,5,2,0,0,0,0,0,1,0,82.35,0,0
0,50,2015,7,27,2,2,5,2,0,0,0,0,0,1,0,119.35,0,1
0,113,2015,7,27,2,2,5,2,0,0,0,0,0,0,0,67.58,0,2
0,93,2015,7,27,2,3,8,2,0,0,0,0,0,0,0,56.01,0,0
0,76,2015,7,27,2,4,10,2,0,0,0,0,0,0,0,110.7,0,0
0,3,2015,7,27,2,0,1,2,0,0,0,0,0,0,0,88.2,1,0
0,1,2015,7,27,2,0,1,2,0,0,0,0,0,0,0,147,1,0
0,1,2015,7,27,2,0,1,2,2,0,0,0,0,0,0,107,1,2
0,0,2015,7,27,2,0,1,2,0,0,0,0,0,0,0,147,0,0
0,0,2015,7,27,2,0,1,2,0,0,0,0,0,0,0,117.9,0,2
0,0,2015,7,27,2,0,1,2,0,0,0,0,0,0,0,123,0,0
0,14,2015,7,27,2,0,2,2,0,0,0,0,0,0,0,98,0,1
0,10,2015,7,27,2,0,2,2,0,0,0,0,0,0,0,117.81,0,0
0,5,2015,7,27,2,0,2,2,0,0,0,0,0,0,0,135,1,2
0,17,2015,7,27,2,0,3,2,0,0,0,0,0,0,0,133,0,1
0,93,2015,7,27,2,0,3,2,0,0,0,0,0,0,0,58.95,0,0
1,3,2015,7,27,2,0,3,2,0,0,0,0,0,0,0,136.33,0,2
0,10,2015,7,27,3,0,2,2,2,0,0,0,0,0,0,153,1,0
0,3,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,110.5,0,0
0,51,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,97,0,0
1,71,2015,7,27,3,0,2,3,0,0,0,0,0,0,0,110.3,0,2
1,63,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,82,0,2
1,62,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,97,0,1
1,101,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,73.8,0,1
0,2,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,91.5,0,0
0,15,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,114.5,0,0
1,51,2015,7,27,3,0,2,3,0,0,0,0,0,0,0,110.3,0,0
0,3,2015,7,27,3,1,2,2,0,0,0,0,0,0,0,90.9,1,0
1,48,2015,7,27,3,1,2,2,0,0,0,0,0,0,0,123,0,0
0,2,2015,7,27,3,2,2,1,0,0,0,0,0,0,0,122,0,0
0,72,2015,7,27,3,2,2,2,0,0,0,0,0,0,0,110.7,1,0
0,81,2015,7,27,3,2,6,3,0,0,0,0,0,0,0,85.86,0,0
0,99,2015,7,27,3,2,7,2,0,0,0,0,0,0,0,58.95,0,0
1,368,2015,7,27,3,3,7,2,0,0,0,0,0,0,0,55.68,0,0
0,364,2015,7,27,3,3,7,2,0,0,0,0,0,0,0,55.68,0,0
1,81,2015,7,27,3,3,7,2,0,0,0,0,0,2,0,124,0,1
0,99,2015,7,27,3,3,7,2,0,0,0,0,0,0,0,111.15,0,0
0,324,2015,7,27,3,4,10,2,0,0,0,0,0,0,0,134.73,0,0
0,69,2015,7,27,3,4,10,2,0,0,0,0,0,1,0,92.45,0,1
1,79,2015,7,27,3,6,15,2,1,0,0,0,0,0,0,108.73,0,2
0,12,2015,7,27,3,0,1,2,0,0,0,0,0,0,0,73.8,0,0
0,9,2015,7,27,3,0,1,2,0,0,0,0,0,0,0,98,1,2
0,1,2015,7,27,3,0,1,2,0,0,0,0,0,0,0,131,0,1
0,21,2015,7,27,3,0,1,2,0,0,0,0,0,0,0,123,0,0
0,9,2015,7,27,3,0,1,2,0,0,0,0,0,0,0,94.71,0,0
0,109,2015,7,27,3,0,1,2,0,0,0,0,0,0,0,123,0,2
1,109,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,123,0,1
1,72,2015,7,27,3,0,2,2,0,0,0,0,0,0,0,73.8,0,1
1,63,2015,7,27,3,2,5,2,0,0,0,0,0,0,0,117,0,1
0,63,2015,7,27,3,2,5,3,0,0,0,0,0,0,0,196.54,0,1
0,101,2015,7,27,3,2,5,2,1,0,0,0,0,0,0,99.3,1,2
0,102,2015,7,27,3,2,5,2,0,0,0,0,0,0,0,90.95,0,0
0,4,2015,7,27,4,2,1,2,0,0,0,0,0,0,0,92.67,0,1
0,98,2015,7,27,4,2,1,2,0,0,0,0,0,0,0,71.55,1,0
0,92,2015,7,27,4,2,4,1,2,0,0,0,0,0,0,96.49,0,2
0,95,2015,7,27,4,2,4,2,0,0,0,0,0,0,0,85.8,1,2
0,102,2015,7,27,4,2,5,2,0,0,0,0,0,0,0,96.3,0,1
1,26,2015,7,27,4,2,5,2,2,0,0,0,0,0,0,163,0,0
1,73,2015,7,27,4,2,5,3,0,0,0,0,0,0,0,172,0,1
1,102,2015,7,27,4,2,5,2,0,0,0,0,0,0,0,110.7,0,1
0,115,2015,7,27,4,2,5,2,0,0,0,0,0,0,0,58.95,0,1
0,102,2015,7,27,4,2,5,2,0,1,0,0,0,0,0,73.8,0,2
0,86,2015,7,27,4,2,5,2,0,0,0,0,0,0,0,97,0,2
0,78,2015,7,27,4,2,5,2,0,1,0,0,0,0,0,139,0,2
0,52,2015,7,27,4,2,5,2,0,0,0,0,0,0,0,67.24,0,0
0,29,2015,7,27,4,2,6,3,0,0,0,0,0,0,0,116.5,0,1
1,101,2015,7,27,4,2,6,2,0,0,0,0,0,0,0,96.3,0,1
0,109,2015,7,27,4,2,6,2,0,0,0,0,0,0,0,123,0,1
0,92,2015,7,27,4,4,6,2,0,0,0,0,0,0,0,71.55,0,1
0,92,2015,7,27,4,4,6,2,0,0,0,0,0,0,0,71.55,0,1
0,79,2015,7,27,4,4,6,2,1,0,0,0,0,1,0,149,0,1
0,2,2015,7,27,4,0,1,2,2,0,0,0,0,1,0,163,1,0
0,30,2015,7,27,4,0,1,2,0,0,0,0,0,0,0,79.5,0,0
1,51,2015,7,27,4,0,1,1,0,0,0,0,0,0,0,105,0,0
1,36,2015,7,27,4,0,1,1,0,0,0,0,0,1,0,123,0,0
1,73,2015,7,27,4,0,1,2,0,0,0,0,0,0,0,73.8,0,2
1,33,2015,7,27,4,0,1,2,0,0,0,0,0,0,0,113,0,0
0,32,2015,7,27,4,0,1,4,0,0,0,0,0,2,0,0,0,1
0,8,2015,7,27,4,0,1,2,0,0,0,0,0,0,0,123,0,0
0,100,2015,7,27,4,1,1,2,0,0,0,0,0,0,0,73.8,1,1
0,1,2015,7,27,4,1,1,2,0,0,0,0,0,0,0,114.5,0,0
0,100,2015,7,27,4,1,1,2,0,0,0,0,0,0,0,73.8,0,2
0,100,2015,7,27,4,1,1,2,0,0,0,0,0,0,0,73.8,0,1
0,9,2015,7,28,5,1,0,2,0,0,0,0,0,0,0,88.2,0,1
1,5,2015,7,28,5,1,0,2,0,0,0,0,0,0,0,97,0,0
0,0,2015,7,28,5,1,0,2,0,0,0,0,0,1,0,85.1,0,0
0,9,2015,7,28,5,1,0,1,0,0,0,0,0,0,0,89,0,0
0,2,2015,7,28,5,1,0,1,0,0,0,0,0,0,0,80.1,0,0
0,2,2015,7,28,5,1,0,2,0,0,0,0,0,0,0,98,0,0
0,9,2015,7,28,5,1,0,1,0,0,0,0,0,0,0,101,1,0
1,5,2015,7,28,5,1,0,2,0,0,0,0,0,0,0,97,0,0
0,2,2015,7,28,5,1,0,2,0,0,0,0,0,0,0,167,0,1
0,44,2015,7,28,5,2,0,3,0,0,0,0,0,3,0,225,2,0
